id,Season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,player_of_match,venue,umpire
142,IPL-2009,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,0,DPMD Jayawardene,St George's Park,S Asnani
143,IPL-2009,Johannesburg,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,JH Kallis,New Wanderers Stadium,RE Koertzen
144,IPL-2009,East London,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,78,MS Dhoni,Buffalo Park,BR Doctrove
145,IPL-2009,Durban,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,78,GC Smith,Kingsmead,SS Hazare
146,IPL-2009,Durban,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,0,G Gambhir,Kingsmead,GAV Baxter
147,IPL-2009,Centurion,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,19,RG Sharma,SuperSport Park,MR Benson
148,IPL-2009,Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,A Singh,SuperSport Park,K Hariharan
149,IPL-2009,Centurion,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,12,ML Hayden,SuperSport Park,DJ Harper
150,IPL-2009,East London,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,0,A Nehra,Buffalo Park,M Erasmus
151,IPL-2009,Kimberley,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter
152,IPL-2009,Kimberley,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,S Badrinath,De Beers Diamond Oval,GAV Baxter
153,IPL-2009,Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,16,JP Duminy,St George's Park,BR Doctrove
154,IPL-2009,Johannesburg,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,A Mishra,New Wanderers Stadium,SL Shastri
155,IPL-2009,Kimberley,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,53,DR Smith,De Beers Diamond Oval,GAV Baxter
156,IPL-2009,Centurion,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,LRPL Taylor,SuperSport Park,M Erasmus
157,IPL-2009,Centurion,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,Harbhajan Singh,SuperSport Park,SS Hazare
158,IPL-2009,Durban,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,12,R Bhatia,Kingsmead,DJ Harper
159,IPL-2009,Durban,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,0,LRPL Taylor,Kingsmead,BR Doctrove
160,IPL-2009,Durban,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,2,SK Warne,Kingsmead,BR Doctrove
161,IPL-2009,Bloemfontein,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,B Lee,OUTsurance Oval,HDPK Dharmasena
162,IPL-2009,Port Elizabeth,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,0,ML Hayden,St George's Park,SK Tarapore
163,IPL-2009,Johannesburg,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,RG Sharma,New Wanderers Stadium,RE Koertzen
164,IPL-2009,Johannesburg,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,1,Yuvraj Singh,New Wanderers Stadium,S Ravi
165,IPL-2009,Bloemfontein,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,14,AB de Villiers,OUTsurance Oval,SS Hazare
166,IPL-2009,Centurion,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,BJ Hodge,SuperSport Park,SJA Taufel
167,IPL-2009,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,0,JH Kallis,New Wanderers Stadium,IL Howell
